id,app_name,category,website,one_line_description,auth_methods,credential_access,self_serve_status,api_protocols,api_breadth,mcp_available,buildability,main_blocker,evidence_url,confidence,verification_status,notes
82,Plaid,Finance/Fintech,https://plaid.com/docs/api,"Payments, banking, accounting, financial data or fintech platform.",client_id + secret; OAuth-like Link flows,Self-serve sandbox; production approval,Self-serve sandbox; production approval,REST,Broad,Third-party ecosystem,Medium,Production access/review,https://plaid.com/docs/api,High,research-pass; audit recommended,Official Plaid docs: API access begins through Dashboard; client_id and secret are used; production access is requested via Dashboard.
83,Binance,Finance/Fintech,https://developers.binance.com,"Payments, banking, accounting, financial data or fintech platform.",API key + secret,Self-serve with restrictions,Self-serve with restrictions,REST + WebSocket,Broad,Third-party ecosystem,High,Account/API permissions,https://developers.binance.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
84,Paygent Connect,Finance/Fintech,https://paygent.global,"Payments, banking, accounting, financial data or fintech platform.",Gateway/API credentials,Contact sales/admin,Contact sales/admin,REST,Narrow,None found,Low,Limited public docs/access,https://paygent.global,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
85,iPayX,Finance/Fintech,https://ipayx.ai/docs,"Payments, banking, accounting, financial data or fintech platform.",API key/token,Contact sales/admin,Contact sales/admin,REST,Moderate,None found,Low,Access/product maturity,https://ipayx.ai/docs,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
86,QuickBooks,Finance/Fintech,https://developer.intuit.com,"Payments, banking, accounting, financial data or fintech platform.",OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,App authorization,https://developer.intuit.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
87,Xero,Finance/Fintech,https://developer.xero.com,"Payments, banking, accounting, financial data or fintech platform.",OAuth2; client credentials for machine-to-machine contexts,Self-serve with restrictions,Self-serve with restrictions,REST,Broad,Third-party ecosystem,High,App/scopes/tenant connection,https://developer.xero.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
88,Brex,Finance/Fintech,https://developer.brex.com,"Payments, banking, accounting, financial data or fintech platform.",OAuth2; API credentials,Admin approval,Admin approval,REST,Broad,Third-party ecosystem,Medium,Customer/developer access,https://developer.brex.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
89,Ramp,Finance/Fintech,https://docs.ramp.com,"Payments, banking, accounting, financial data or fintech platform.",OAuth2; API credentials,Admin approval,Admin approval,REST,Broad,Third-party ecosystem,Medium,Customer/admin access,https://docs.ramp.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
90,PitchBook,Finance/Fintech,https://pitchbook.com,"Payments, banking, accounting, financial data or fintech platform.",Enterprise API credentials,Contact sales,Contact sales,REST/enterprise API,Broad,None found,Low,Commercial API access,https://pitchbook.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
91,NotebookLM,AI/Research/Media,https://cloud.google.com/gemini,"AI, research, meeting intelligence, media or AI-native platform.",Google identity/enterprise access,Enterprise/admin,Enterprise/admin,Limited/enterprise API,Narrow,None found,Low,Public API surface limited; enterprise access,https://cloud.google.com/gemini,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
92,Otter AI,AI/Research/Media,https://help.otter.ai,"AI, research, meeting intelligence, media or AI-native platform.",OAuth/API credentials,Admin/partner access,Admin/partner access,REST/limited,Moderate,Official/third-party MCP,Medium,MCP/API access,https://help.otter.ai,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
93,Fathom,AI/Research/Media,https://fathom.video,"AI, research, meeting intelligence, media or AI-native platform.",OAuth2/API access,Admin/partner access,Admin/partner access,REST/limited,Moderate,None found,Medium,Developer access,https://fathom.video,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
94,Consensus,AI/Research/Media,https://consensus.app,"AI, research, meeting intelligence, media or AI-native platform.",OAuth2/API access,Partner/request access,Partner/request access,REST/limited,Moderate,None found,Medium,API availability/access,https://consensus.app,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
95,Reducto,AI/Research/Media,https://reducto.ai,"AI, research, meeting intelligence, media or AI-native platform.",API key,Self-serve,Self-serve,REST,Moderate,Third-party ecosystem,High,API key,https://reducto.ai,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
96,Devin,AI/Research/Media,https://docs.devin.ai,"AI, research, meeting intelligence, media or AI-native platform.",API key/OAuth,Self-serve/enterprise,Self-serve/enterprise,REST/agent/MCP,Moderate,Official/third-party MCP,High,Plan/enterprise controls,https://docs.devin.ai,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
97,higgsfield,AI/Research/Media,https://higgsfield.ai/cli,"AI, research, meeting intelligence, media or AI-native platform.",API key/CLI credentials,Self-serve/paid,Self-serve/paid,REST/CLI,Moderate,None found,Medium,Product/API maturity,https://higgsfield.ai/cli,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
98,Mermaid CLI,AI/Research/Media,https://github.com/mermaid-js/mermaid-cli,"AI, research, meeting intelligence, media or AI-native platform.",Local CLI,Self-serve,Self-serve,None,Narrow,None,High,Not a hosted API; CLI is directly agent-callable,https://github.com/mermaid-js/mermaid-cli,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
99,YouTube Transcript,AI/Research/Media,https://transcriptapi.com,"AI, research, meeting intelligence, media or AI-native platform.",API key,Self-serve paid,Self-serve paid,REST,Narrow,Third-party ecosystem,High,Provider dependency,https://transcriptapi.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
100,Grain,AI/Research/Media,https://grain.com,"AI, research, meeting intelligence, media or AI-native platform.",OAuth2/API access,Admin/partner access,Admin/partner access,REST/limited,Moderate,Third-party ecosystem,Medium,Workspace/API access,https://grain.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
